"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"21.05.2021","10,84","10,79","10,85","10,65","18,44M","0,56%"
"20.05.2021","10,78","10,74","10,89","10,69","28,26M","0,37%"
"19.05.2021","10,74","10,54","10,74","10,49","21,00M","1,13%"
"18.05.2021","10,62","10,55","10,71","10,55","18,78M","-0,28%"
"17.05.2021","10,65","10,61","10,65","10,45","27,97M","0,09%"
"14.05.2021","10,64","10,54","10,69","10,44","33,03M","2,01%"
"13.05.2021","10,43","10,26","10,53","10,26","37,89M","1,76%"
"12.05.2021","10,25","10,36","10,37","10,21","23,04M","-1,91%"
"11.05.2021","10,45","10,33","10,50","10,30","29,96M","0,00%"
"10.05.2021","10,45","10,30","10,45","10,25","30,51M","1,06%"
"07.05.2021","10,34","10,21","10,34","10,16","23,88M","1,37%"
"06.05.2021","10,20","10,15","10,25","10,09","24,91M","-0,10%"
"05.05.2021","10,21","9,97","10,22","9,88","34,62M","2,92%"
"04.05.2021","9,92","10,26","10,26","9,90","59,75M","-2,65%"
"03.05.2021","10,19","10,14","10,30","10,07","29,61M","1,29%"
"30.04.2021","10,06","10,15","10,22","10,01","42,84M","-0,98%"
"29.04.2021","10,16","10,39","10,43","10,13","30,61M","-2,31%"
"28.04.2021","10,40","10,16","10,40","10,15","54,15M","3,48%"
"27.04.2021","10,05","10,23","10,30","10,05","23,81M","-2,14%"
"26.04.2021","10,27","10,33","10,42","10,17","18,91M","-0,48%"
"23.04.2021","10,32","10,23","10,37","10,20","27,18M","0,98%"
"22.04.2021","10,22","10,23","10,26","10,11","27,75M","0,00%"
"20.04.2021","10,22","10,18","10,25","10,12","24,24M","0,20%"
"19.04.2021","10,20","10,25","10,30","10,13","23,64M","-0,97%"
"16.04.2021","10,30","10,17","10,37","10,17","18,47M","0,39%"
"15.04.2021","10,26","10,27","10,36","10,15","25,32M","0,00%"
"14.04.2021","10,26","10,22","10,38","10,11","33,71M","0,69%"
"13.04.2021","10,19","10,14","10,24","10,04","31,47M","-0,20%"
"12.04.2021","10,21","10,08","10,21","10,07","20,13M","1,69%"
"09.04.2021","10,04","10,05","10,15","10,02","25,10M","-0,50%"
"08.04.2021","10,09","10,15","10,15","10,04","24,37M","-0,30%"
